Mecanisme;Taux;Taux_num;Variable;Type;Methode;RMSE;RMSE_std;NRMSE;MAE;MAE_std;Bias;KS_pvalue;Wilcoxon_pvalue;F1;Accuracy;Kappa;MCC;Chi2_pvalue;Temps_moyen;Var_Ratio;F1_std
MCAR;10%;0.1;Adipo HMW;Continue;Mediane/Mode;4.793497066846313;4.741769811891291;0.09856927708629745;1.4517315829032924;1.1524884461832936;-1.1147554173816787;0.7158552233197467;0.582753395143922;;;;;;0.014980316162109375;0.9069878440249977;
MCAR;10%;0.1;Age;Continue;Mediane/Mode;10.144976617849021;1.21025732482223;0.18786993736757449;8.100322165567174;1.0656977826100187;-0.2176234647922489;0.6931044941937916;0.39715430168148125;;;;;;0.014980316162109375;0.9069878440249977;
MCAR;10%;0.1;Glibenclamide 5mg;Continue;Mediane/Mode;6.01648347944125;1.0844270764508213;0.3008241739720625;3.2892581576792104;0.8650455198612413;-3.2892581576792104;0.9700340215160628;0.010719198428538055;;;;;;0.014980316162109375;0.9069878440249977;
MCAR;10%;0.1;Glu;Continue;Mediane/Mode;0.8286059607097546;0.2721993782855194;0.152597782819476;0.5604459045832216;0.12183375366732116;-0.19764667649423742;0.840762074834332;0.34218264850187613;;;;;;0.014980316162109375;0.9069878440249977;
MCAR;10%;0.1;HDL;Continue;Mediane/Mode;0.2520028556094001;0.01570304179524895;0.17622577315342663;0.19950842338189195;0.007679560821847371;-0.016320341754256524;0.5248433174359157;0.34549206990358616;;;;;;0.014980316162109375;0.9069878440249977;
MCAR;10%;0.1;HOMA-IR;Continue;Mediane/Mode;8.77043759496609;10.379866052678656;0.08773301224349098;2.2419414133322033;2.272360195373689;-1.9318265713073175;0.7589504402007385;0.35816287080998305;;;;;;0.014980316162109375;0.9069878440249977;
MCAR;10%;0.1;HOMAB%;Continue;Mediane/Mode;64.25434566099989;23.015937043272142;0.18760392893722594;36.594132606447594;9.482241196238618;-22.19225726132747;0.674597310609671;0.31638857877301646;;;;;;0.014980316162109375;0.9069878440249977;
MCAR;10%;0.1;HOMAS%;Continue;Mediane/Mode;297.6771437824187;241.05861184378705;0.09719435262429187;127.07582616601785;75.88646504216939;-78.58317543439149;0.5270587007724269;0.4083351883993256;;;;;;0.014980316162109375;0.9069878440249977;
MCAR;10%;0.1;IMC;Continue;Mediane/Mode;5.348602098205771;1.339450972974846;0.1340572333421643;4.200178900188805;0.9119168700434895;-1.0704565537398607;0.7468958247093471;0.30022155595308647;;;;;;0.014980316162109375;0.9069878440249977;
MCAR;10%;0.1;Ins (µUI/mL);Continue;Mediane/Mode;5.003190723293139;0.7044219281836207;0.08639389207749236;3.0858881853210898;0.33610715536352037;-1.507829817457883;0.6019241543322585;0.4025535937656577;;;;;;0.014980316162109375;0.9069878440249977;
MCAR;10%;0.1;Insu pmol/L;Continue;Mediane/Mode;39.170212455708;7.224175734787039;0.11273029868039439;24.171759243135597;5.392692378920371;-12.9073492366859;0.662899765705444;0.45654072929107625;;;;;;0.014980316162109375;0.9069878440249977;
