Taux_Perte;Taux_Perte_num;Variable;Type_Variable;Methode;RMSE;MAE;KS_pvalue;Wilcoxon_pvalue;F1_weighted;Classification_Error;Chi2_pvalue
40%;0,4;PCSK9;Continu;Mediane/Mode;32,942978909062944;23,44446329691525;1,8482499141142196e-05;0,37478447020016004;;;
40%;0,4;Glu;Continu;Mediane/Mode;0,9127764992044877;0,6103124999999999;2,4338011763247778e-06;0,004601628590465577;;;
40%;0,4;Ins (µUI/mL);Continu;Mediane/Mode;5,420099870367132;3,37062571328125;1,0751741309113162e-07;0,0021053251141888787;;;
40%;0,4;HOMAB%;Continu;Mediane/Mode;43,359939924357626;27,996747967479678;6,70238419269392e-08;0,410595151210853;;;
40%;0,4;HOMA-IR;Continu;Mediane/Mode;9,205537893864145;1,4009005300677966;2,7175848539545025e-05;0,11524569716357051;;;
40%;0,4;Adipo HMW;Continu;Mediane/Mode;4,610989624999327;1,466729060462185;8,380202690108576e-06;0,005495076247697532;;;
40%;0,4;Glibenclamide 5mg;Continu;Mediane/Mode;6,088017204999678;3,507751937984496;0,0012199876922125534;7,732100450699574e-10;;;
40%;0,4;Insuline 10 UI;Continu;Mediane/Mode;1,6903085094570331;0,2857142857142857;0,9999999999999999;0,51231877240252;;;
40%;0,4;Lasilix 40 mg;Continu;Mediane/Mode;0,0;0,0;1,0;1,0;;;
40%;0,4;Lexomil 6 mg;Continu;Mediane/Mode;0,0;0,0;1,0;1,0;;;
40%;0,4;Metformine 500 mg;Continu;Mediane/Mode;1114,5618251203043;662,7906976744187;0,0012199876922125534;7,173052153650167e-10;;;
40%;0,4;Ratio Tot-c/HDL;Continu;Mediane/Mode;5,755486020485043;2,302337316351145;1,032252984572644e-06;0,09176286253015487;;;
40%;0,4;Ratio LDL-c/HDL;Continu;Mediane/Mode;5,253797624668837;2,3634659185;4,2621966720370663e-07;0,011534467868974985;;;
40%;0,4;Ratio TG/HDL;Continu;Mediane/Mode;4,6092737842527365;1,724682940572519;1,032252984572644e-06;0,07615132969783554;;;
40%;0,4;Ratio LogTG/HDL;Continu;Mediane/Mode;0,2556352916218032;0,181374061622807;1,7131405239416824e-07;0,13808131114842204;;;
40%;0,4;Insu pmol/L;Continu;Mediane/Mode;29,456780163732386;18,902075906976744;1,032252984572644e-06;0,05035595930701184;;;
40%;0,4;lu(mmol/l);Continu;Mediane/Mode;5,466073083872502;3,6480217142857136;3,969385751248496e-05;0,1626302699874662;;;
40%;0,4;HOMAS%;Continu;Mediane/Mode;486,3602437396552;150,90564515556446;1,032252984572644e-06;0,10883407150894361;;;
40%;0,4;Sexe;Binaire;Mediane/Mode;;;;;0,43699839486356346;0,4107142857142857;9,700418403498207e-35
40%;0,4;HTA;Binaire;Mediane/Mode;;;;;0,5912594911029966;0,28873239436619713;1,389293107799022e-35
40%;0,4;HTS/HTD;Ordinal;Mediane/Mode;;;;;0,2953119232189;0,5348837209302326;1,3860053372624886e-108
40%;0,4;Profil_glycemique;Ordinal;Mediane/Mode;;;;;0,4313666915608663;0,41538461538461535;1,372983952013919e-103
40%;0,4;Age;Continu;MICE (sklearn);15,130449758315795;12,30121718801014;0,42046821760171277;0,018918616393500357;;;
40%;0,4;IMC;Continu;MICE (sklearn);7,52640682166091;5,479511815660326;0,6776105978838524;0,051048511674701307;;;
40%;0,4;TT;Continu;MICE (sklearn);19,307227780376216;13,849979899954082;0,7442018745342833;0,09582495050215795;;;
40%;0,4;PAS;Continu;MICE (sklearn);33,43712645783951;27,343189447133046;0,7442018745342833;0,4138786206501025;;;
40%;0,4;PAD;Continu;MICE (sklearn);16,50920869651051;13,014724507341043;0,11175394106208987;0,026505700054872607;;;
40%;0,4;Prot;Continu;MICE (sklearn);17,411204943607824;13,724841800014882;0,16210186746084385;0,08735823563047461;;;
40%;0,4;HDL;Continu;MICE (sklearn);0,3738880253664842;0,2885164400534338;0,42046821760171277;0,6834150377197548;;;
40%;0,4;Totc;Continu;MICE (sklearn);0,4714278993507828;0,3586175353199487;0,9903851486604354;0,9720260498873581;;;
40%;0,4;LDLc;Continu;MICE (sklearn);0,428046074319704;0,3215786799962323;0,9903851486604354;0,593585954903671;;;
